,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
1,5136,Spacious Family Friendly Duplex w/ Patio + Yard,7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,215.0,30,4,1,71,1,jan-mar,Mid-range product
2,6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81.0,30,193,1,193,3,jul-sep,Low-range product
3,6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65.0,30,1,2,365,0,oct-dec,Low-range product
4,6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,65.0,30,247,1,212,2,jul-sep,Low-range product
6,7097,"Perfect for Your Parents, With Garden & Patio",17571,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,205.0,2,374,2,219,36,jul-sep,Mid-range product
7,7801,Sunny Williamsburg Loft with Sauna,21207,Chaya,Brooklyn,Williamsburg,40.718807220458984,-73.9561767578125,Entire home/apt,290.0,30,12,1,219,2,jul-sep,High range
8,8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,170.0,30,190,2,215,7,jul-sep,Mid-range product
9,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175.0,30,58,1,281,0,oct-dec,Mid-range product
10,10452,Wonderful B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90.0,30,80,6,189,3,jul-sep,Mid-range product
12,12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,73.0,30,316,2,61,13,jan-mar,Low-range product
13,12937,"1 Stop to Midtown! Private Bedroom, Landmark House",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,185.0,3,405,1,105,38,apr-jun,Mid-range product
14,12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,120.0,30,76,1,279,1,oct-dec,Mid-range product
